Antigen,Study,Clone,Cat_Number,Oligo_ID,TotalSeq_Cat,Vendor,Control,RRID,Lot,Custom_Antibody
2B4,Wu_2021_b,C1.7,329527,0189,A,BioLegend,FALSE,AB_2750007,NA,NA
4.1BB,Wu_2021_b,4B4-1,309835,0355,A,BioLegend,FALSE,AB_2783173,NA,NA
4.1BBL,Wu_2021_b,5F4,311509,0022,A,BioLegend,FALSE,AB_2734284,NA,NA
Annexin V,Kotliarov_2020,NA,custom made (similar to 94700),0025,A,BioLegend,FALSE,NA,B270560,TRUE
anti-c-Met,Liu_2021,12.1,NA,1055,C,BioLegend,FALSE,NA,NA,NA
anti-c-Met,Stephenson_2021,12.1,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
Anti-PE,Arunachalam_2020,PE001,408109,0911,A,BioLegend,FALSE,NA,NA,NA
anti-RORγ,Qian_2020,2F7-2,NA,0223,A,BioLegend,FALSE,NA,NA,NA
anti-Tau Phospho (Thr181),Liu_2021,M7004D06,NA,0856,C,BioLegend,FALSE,AB_2832723,NA,NA
anti-TMEM119,Qian_2020,A16075D,853303,0445,A,BioLegend,FALSE,NA,NA,NA
Arm.ham.IgG.iso,Wu_2021_b,HTK888,400973,0241,A,BioLegend,TRUE,N/A,NA,NA
Armenian Hamster IgG,Witkowski_2020,HTK888,400973,0241,A,BioLegend,TRUE,N/A,B279512,NA
Armenian Hamster IgG Isotype Ctrl,Qian_2020,HTK888,400973,0241,A,BioLegend,TRUE,N/A,NA,NA
Armenian Hamster IgG Isotype Ctrl,LeCoz_2021,HTK888,400977,0241,C,BioLegend,TRUE,NA,NA,NA
B220 (CD45R),Hao_2021,RA3-6B2,NA,NA,C,BioLegend,FALSE,NA,NA,NA
B220 (CD45R),Mimitou_2019,RA3-6B2,NA,NA,NA,NA,FALSE,NA,NA,NA
B7-H4,Hao_2021,MIH43,358114,0011,A,BioLegend,FALSE,AB_2734386,NA,NA
B7-H4,Mimitou_2021,MIH43,358114,0395,A,BioLegend,FALSE,NA,NA,NA
B7-H4,Qian_2020,MIH43,358114,0395,A,BioLegend,FALSE,NA,NA,NA
B7-H4,Liu_2021,MIH43,358116,0395,C,BioLegend,FALSE,AB_2800986,NA,NA
B7-H4,Su_2020,MIH43,358116,0395,C,NA,FALSE,NA,NA,NA
B7-H4,Stephenson_2021,MIH43,NA,NA,NA,BioLegend,FALSE,NA,NA,NA
B7-H4,Trzupek_2020,MIH43,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
B7-H4,Trzupek_2020,MIH43,NA,NA,NA,BD Biosciences,FALSE,NA,NA,NA
B7H2,Wu_2021_b,2D3,309413,0009,A,BioLegend,FALSE,AB_2734278,NA,NA
B7H3,Wu_2021_b,DCN.70,331607,0010,A,BioLegend,FALSE,AB_2734327,NA,NA
B7H4,Wu_2021_b,MIH43,358114,0011,A,BioLegend,FALSE,AB_2734386,NA,NA
